Calorie,Carbohydrates,Cholesterol,Fat,Fiber,Potassium,Protein,Saturated Fat,Serving Size,Sodium,Sugar,Turkish Name
278.6,0.0,90,17.1,0.0,223,27.2,6.5,100.0,91,0.0,dana kıyma
44.7,10.1,0,0.2,1.4,35,1.4,0.0,100.0,2,4.7,büyük boy soğan
144.8,32.5,0,0.7,2.0,153,6.4,0.0,100.0,16,1.0,sarımsak
147.0,0.7,371,9.7,0.0,199,12.5,3.1,100.0,139,0.4,yumurta
0.0,0.0,0,0.0,0.0,0,0.0,0.0,100.0,38395,0.0,tuz
245.3,64.1,0,3.0,24.8,158,10.5,1.3,100.0,20,0.4,karabiber
379.3,44.5,0,22.4,10.5,500,17.8,1.4,100.0,170,2.4,kimyon
39.4,8.8,0,0.4,1.5,43,1.9,0.0,100.0,8,5.3,pul biber
391.7,73.1,0,5.4,4.5,164,13.2,1.2,100.0,741,6.3,bayat ekmek kırıntısı
883.0,0.0,0,100.8,0.0,0,0.0,6.6,100.0,0,0.0,sıvı yağ
81.3,18.8,0,0.5,4.1,81,4.3,0.1,100.0,59,12.2,domates salçası
36.9,8.9,0,0.2,1.9,39,1.7,0.0,100.0,27,4.8,domates püresi
721.5,0.1,215,79.6,0.0,23,0.8,51.1,100.0,637,0.1,tereyağı
0.0,0.0,0,0.0,0.0,0,0.0,0.0,100.0,4,0.0,sıcak su
23.3,3.8,0,0.3,2.4,55,2.9,0.0,100.0,69,0.4,ıspanak 
92.7,21.0,0,0.1,2.2,70,2.5,0.0,100.0,10,1.2,patates
869.2,0.0,0,101.2,0.0,0,0.0,13.9,100.0,1,0.0,zeytinyağı
0.0,0.0,0,0.0,0.0,0,0.0,0.0,100.0,38395,0.0,tuz 
357.8,77.7,0,1.0,2.7,109,10.4,0.2,100.0,2,0.3,buğday unu
51.3,4.9,8,1.9,0.0,100,3.5,1.2,100.0,52,0.0,süt
405.3,3.2,99,32.7,0.0,453,22.9,18.8,100.0,653,0.5,rendelenmiş kaşar peyniri
278.6,0.0,90,17.1,0.0,223,27.2,6.5,100.0,91,0.0,orta yağlı kıyma
44.7,10.1,0,0.2,1.4,35,1.4,0.0,100.0,2,4.7,kuru soğan
127.4,28.4,0,0.3,0.4,42,2.7,0.1,100.0,1,0.1,haşlanmış pirinç
870.1,0.0,0,99.5,0.0,0,0.0,9.8,100.0,0,0.0,ayçiçek yağı
399.9,71.4,0,5.4,4.5,166,13.3,1.2,100.0,717,6.2,galeta unu
